RegionName,StateName,SizeRank,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
Lansing,MI,107,924.5995033075592,927.720738392136,941.811787342544,956.1286530264152,963.7413098772594,965.0981345765144,964.9233348954278,972.3470819736388,985.285755892501,991.703982345094,988.0676530294306,996.9076053752782,1000.2182777788558,1017.1410463236411,1016.709574725592,1025.5188373655012,1030.5917792824305,1041.1067898890103,1046.5489290410865,1066.1399822690648,1076.7819119590945,1087.3854741141718,1086.8148824803673,1091.68796153362,1104.0845343193985,1107.5222443044493,1126.057260790796,1136.6278052370462,1156.5416253318783,1161.9706838867132,1163.9094003400949,1174.6259029690875,1175.954619129772,1185.90145541404,1180.1442990609064,1193.4249254902932,1192.5788750399752,1198.7152302469178,1192.3377273190697,1201.83077853399,1198.2627545063513,1200.2239841754165,1204.6006941619237,1211.842301693104,1223.792990107492,1230.177550448624,1259.2472710523032,1255.0727202360442,1254.3806121594828,1249.7613854869346,1262.224094305838,1271.9064878034849,1278.2163844675829,1294.546925363793
Fayetteville,AR,108,1150.2852342039175,1161.138949874255,1170.9731581674755,1174.2382976168042,1175.3408368012963,1175.9957647258675,1183.1139385511715,1187.9981465933918,1196.726733686925,1201.465471105325,1207.200954726318,1209.275525984374,1214.3875594404622,1226.2352935567487,1234.375185924044,1249.8419313453835,1258.213459071151,1276.8660779873212,1296.5997397886945,1322.4329541025515,1342.447156046671,1348.985677503159,1358.3265019625924,1363.1142524439954,1371.177120599948,1377.3106060231664,1387.2026158355634,1408.8782203102407,1431.0747889236752,1461.448979013952,1492.2645731776704,1522.6600356707092,1528.7565472054457,1525.611259676441,1526.307293578918,1535.318732924865,1546.0295135001418,1548.15808313014,1554.2689037474136,1560.269072094536,1563.648245331926,1572.2998141105104,1575.4064432687726,1585.236415700975,1589.6385503840002,1591.8388477083836,1591.3628574820914,1582.650055664633,1585.7107973294296,1593.6619581134194,1604.9739161555326,1612.06977028837,1617.0591466254157,1631.572506765314
Fayetteville,NC,109,946.259575640741,951.7517159603422,961.2028244664328,965.191566439458,974.2892163491302,984.2459280794358,996.6407855284692,1003.01060160773,1015.1944353013332,1027.4378379658783,1037.8210674336926,1043.8974078875929,1053.5942709991302,1064.5376841068205,1078.6448826466078,1099.6671172978297,1128.9463322346517,1151.2704120610094,1171.0075905347687,1180.3662469599496,1199.7795604629705,1205.955101517467,1216.63396783933,1230.2917321637633,1252.291559055198,1267.8447934929584,1280.9831410465083,1295.3732008005873,1311.5702738338064,1323.9256211881582,1327.9180448480756,1340.5817225439114,1345.2892367925135,1350.7173489669262,1344.7334287622143,1341.5915730868344,1350.757024737191,1363.5590459640362,1381.6416757696024,1385.0138766567698,1397.1812886413418,1398.4795174047529,1400.48445698596,1402.7801166340264,1407.1821564532547,1414.9365611158903,1410.5297292434598,1404.3758815148483,1408.1647994316495,1404.932245956865,1417.9460207436705,1428.6070386046135,1445.413723298778,1453.3187031281311
Lexington,KY,110,1001.3384185264692,1002.7568406809032,1008.5646552313792,1007.343651698751,1010.5207146252702,1016.160812083013,1028.7182688779983,1037.2897963559244,1042.7963391815035,1042.1385581791797,1046.7228086692078,1049.3256955886247,1050.1066406990928,1054.156507050944,1058.5636426997517,1074.4520560335689,1090.7637055477956,1111.071657045134,1131.898634456129,1153.0518190583482,1166.56131769747,1173.7761689749875,1176.9255906459591,1181.3270094776624,1182.1513727296697,1186.0772095103346,1197.3024596027606,1213.313990415186,1231.5415960537728,1256.1330212317828,1278.2828089488737,1286.34876306091,1282.497097304965,1278.8582609960963,1278.1024593360137,1287.6719440231682,1295.5867989100138,1304.092897779367,1309.5388654386302,1317.9246951216971,1332.58908604643,1340.4779307787244,1350.1945614557455,1360.9958698201922,1372.2970220346303,1372.3069003551425,1376.1909695414697,1371.2236266255838,1375.5153547417356,1371.2140791541017,1381.595823259674,1391.7744335357534,1403.094328906398,1415.281245054601
Pensacola,FL,111,1253.1511257470736,1261.1690066332633,1275.4428123288017,1280.205254301902,1286.3287713421137,1297.0419113990124,1313.0021373431443,1327.5136625050825,1347.7563580145666,1357.4521886351442,1363.7223636195242,1375.0095718788773,1385.7816006404255,1412.4862304589203,1428.1519622404548,,1517.152872258501,1556.002416839269,1592.1843948523692,1636.5413622610913,1675.9149240140428,1689.2943482206028,1675.1568686894957,1675.6623098782268,1679.8316977357704,1698.821456883357,1716.6505443401018,1724.3364278013066,1743.6272103096974,1757.867740400665,1773.8994674124542,1785.9857355715274,1800.648242689665,1799.895269202673,1784.912379274064,1763.7933212881162,1767.379159528073,1769.8023018409735,1780.0158199026382,1786.7096518250228,1796.2002608447774,1799.4877400494872,1805.7463075417625,1818.178770554338,1821.215486429426,1821.2976593779067,1813.282340478129,1823.1409047773848,1817.7404286642304,1828.258995818598,1828.6544120656968,1839.2283120832328,1843.3501107495,1850.7425476484304
Santa Rosa,CA,112,2233.150217853078,2237.883573826616,2241.933096931204,2235.580829450052,2236.1557713959264,2248.615737107799,2241.891050887785,2248.380923422444,2251.8035005995835,2279.5804351072816,2279.5131234503865,2279.8415124943344,2271.177228464252,2279.530453324582,2283.82569943823,2298.068064473505,2328.379398403095,2367.8921780719243,2406.315018606043,2426.974675855673,2452.2035160861838,2452.6215362118246,2465.2508965287634,2460.426431165365,2485.5297645391647,2502.015797655703,2538.2525164170806,2570.795579299066,2600.5250797900817,2611.118109834958,2613.281411417612,2609.422649156357,2611.52848644508,2604.193150687728,2590.0423463525885,2585.5017300570785,2587.367753389046,2596.8219105935705,2608.160850702589,2629.621687625212,2653.523271981493,2665.1177704546885,2665.4559826921604,2673.6159561378595,2688.664308906217,2686.2100524108523,2690.386540174213,2676.1186466968243,2687.647141908533,2681.4678094077813,2688.79410891163,2701.850614291256,2717.4088926712893,2726.170457648468
Reno,NV,113,1512.4616136213056,1520.0995547933956,1529.1840394121668,1528.4315006947018,1528.7589334527318,1527.0896702031855,1535.229764523513,1558.9816387242154,1586.2621183119134,1609.7977988203936,1620.7221324467162,1627.9570649692707,1639.4832629201137,1658.0873764301812,1676.033177491399,1696.508333657896,1727.3651624632482,1765.442824388679,1815.3603587084883,1841.145215562021,1857.275306834436,1847.4584673765448,1837.4571444189903,1823.102314672965,1828.2808390467096,1837.459341170285,1851.5508950104609,1861.0869036794616,1878.3257588792496,1898.9524466974167,1912.6222922853983,1905.4414220144247,1886.6170099576811,1876.0478671430824,1860.622679632723,1863.628731352032,1856.8530843390613,1864.075407964949,1863.7561291462905,1872.4600137022303,1893.6970533186704,1905.9223252909565,1916.8003089776832,1908.5026625843736,1900.1403885956129,1891.8459944822123,1872.152312691794,1871.780812343668,1870.2481597077056,1892.0821059132788,1906.6591137111136,1925.373821715903,1941.884580504056,1959.10145624512
Huntsville,AL,114,1044.546226855213,1056.0253334849951,1064.4077651099649,1063.8273391957537,1079.339506426255,1089.976371441609,1110.3684508708234,1126.478316472692,1145.3762579371123,1151.9775405476728,1155.3308924637088,1158.8522146695163,1173.0757376407398,1184.0336603526323,1200.708328713244,1218.136773537422,1244.5094010195912,1269.736378536373,1291.367561699844,1307.8803473067896,1319.2285979822018,1328.6644181810643,1333.031834541974,1341.4906810468092,1349.761716077939,1355.0184612582552,1362.9960002772464,1373.0486713366977,1392.4996881605994,1406.102079295153,1412.6001363637113,1418.4337751382664,1406.1639079998426,1405.764572881783,1404.1965101063524,1413.851723525687,1419.6195216258957,1419.3290116196915,1430.9156477716526,1445.3917557053194,1450.7551071815155,1452.342347299502,1452.9037607533712,1456.1722413963432,1458.2354947076578,1459.8759515839429,1464.9070134110646,1468.3881459674435,1461.1625176698476,1446.8047408577524,1449.511118953782,1457.248535560543,1479.35197158425,1480.7156122629806
Port St. Lucie,FL,115,1565.512218373408,1566.160266522293,1563.3495450815042,1558.0314726307315,1562.3589568321836,1566.646520748635,1591.7396917441667,1606.9569578553958,1632.8877803500409,1661.5961333655862,1687.8190671033744,1707.1811634479504,1719.2610700226478,1746.3041836504517,1764.7214943537483,1775.4790730680484,1780.747220238959,1839.3233846517128,1898.8846264407405,1980.0392246653291,2016.1031033741845,2080.442334996841,2128.221235459805,2179.261513108395,2212.325475926766,2205.9581042860277,2197.243315733124,2187.546157564285,2215.2254081023243,2240.5707106930886,2275.0341564796613,2283.2843448192725,2308.603529062002,2310.801954813401,2320.60456062975,2318.116258067797,2326.8342784481174,2332.538084424999,2334.057392151265,2326.149670262767,2335.69395222079,2348.032788655243,2357.797217394604,2383.641029029235,2395.982710051568,2410.766273476217,2398.122035393323,2391.8398172160373,2386.311658566764,2386.63299945787,2393.882577527817,2392.9770957177384,2399.258800102352,2406.739802350793
Lafayette,LA,116,1026.8503089336075,1023.5149393261488,1034.084830340852,1035.565121649835,1045.9163701355526,1047.687921849384,1055.8823459743282,1061.900297142246,1075.9763904755337,1084.6652384331724,1091.13076806119,1092.157253671489,1092.6863185914224,1084.3734519970594,1085.353293844968,1088.7621935583834,1111.3122621847165,1128.191407845854,1153.8237417899848,1169.7734637761694,1186.240864152242,1197.3471968814356,1205.2570376061844,1207.6299386235928,1217.2324436222914,1217.780680135171,1223.2576749277002,1225.9349480476858,1232.827502970143,1237.8071870077365,1239.0866452289629,1241.2569836340288,1233.344077522813,1221.2883927609355,1209.4871936207392,1215.4033254957742,1223.376993908964,1233.615963030785,1238.963114031157,1243.516198070679,1251.1968614815917,1260.1638483051686,1273.851781643848,1288.1207747335293,1296.0683627454234,1294.8856272217886,1288.7403337141718,1293.664737658429,1292.5234820916348,1289.4685053791088,1277.6102884887596,1280.8570122233923,1290.8554812319735,1305.5605459057072
Myrtle Beach,SC,117,1292.5783153844309,1303.1417442409395,1316.0803796109656,1314.1938686370297,1301.2996728310338,1300.327971591121,1309.3937739802502,1329.2812172452902,1340.9642685566807,1345.0494670326525,1352.4340844361343,1357.5425878286933,1369.2398517191343,1362.4805664708892,1364.1795033700355,1382.0881231312178,1413.3748499944058,1445.6181283316346,1490.3531015329547,1548.9497452057192,1591.2405977868364,1621.6855402684823,1607.5232516586425,1626.4219780650662,1614.498517020737,1638.3262305924875,1659.3513251070883,1702.9026568120405,1740.554908897901,1761.2230082089063,1777.1460689645337,1802.074811037929,1805.7033327870884,1805.414606066197,1788.0152558664793,1797.460778265298,1792.1618920849244,1791.237956243512,1780.7508267036185,1797.281877842924,1814.4933373131687,1823.645050799005,1835.0422947658703,1847.7778867017205,1867.6279899676813,1864.016991110408,1842.6798663602965,1829.8093029781,1829.5080228752208,1842.1472454285629,1845.864458193676,1864.381038943336,1866.3042643311223,1881.24902379769
Springfield,MO,118,894.9877019692136,900.808609342438,912.422504191658,919.7946672652822,927.1550944562272,937.650166627594,948.422238719636,958.5158382910794,950.8358185494968,950.6323147054524,950.8911524251804,960.703789239892,971.1842784027456,986.393677056417,1007.0643588836969,1020.6221237374298,1044.1001259460909,1068.72523319562,1097.0983185143173,1101.6242700123746,1095.3547022394905,1091.072720173101,1102.1266402772187,1116.3790957437227,1125.2076500483968,1125.7848024989948,1134.5194053962189,1159.8954698387554,1182.2003367367497,1197.7658133187988,1197.8376028062876,1204.1645408469044,1208.5515304948171,1206.6283147356007,1203.396025774025,1204.265623060082,1207.7667736260253,1210.6824410781617,1210.491847937149,1216.4004257045651,1226.9581263198877,1237.1366616904882,1253.1664697996264,1257.132059472394,1263.353145261071,1259.046882723948,1250.0513377757327,1245.7377640260884,1245.7289069212804,1260.1879718991504,1267.9293499976552,1274.912761706438,1279.040994962376,1288.457093320265
Visalia,CA,119,1227.09987820123,1236.3825045091437,1240.2512825173062,1249.577730729225,1248.2850233949978,1257.2843646207723,1267.028092189702,1284.6864175110693,1297.7498006099545,1298.9634861035247,1298.3685916360637,1310.3400580233365,1334.9290583049806,1347.2030207175203,1374.5234112752628,1401.412400859375,1443.9497376250445,1458.6263679233325,1467.2577199099403,1472.7983002631795,1488.6450844512258,1528.4502031885538,1568.509721004379,1616.2058480795124,1617.843701901941,1610.8818185510677,1590.9934078361644,1580.012992034372,1612.5957622144197,1641.3481821365745,1677.5467704117484,1684.4945961927206,1693.397951186463,1683.1508306826306,1671.068605305093,1664.3493773798127,1668.154162531061,1671.7433988505834,1676.5786384859498,1690.047042063785,1688.3236443696765,1685.8238237425292,1691.048161545839,1702.1707343220978,1709.1563583637037,1712.150542221562,1726.9005018413418,1727.7303409925846,1743.0329060952677,1735.2741601340626,1735.4559021974833,1729.6613554585422,1756.787366175851,1795.55958781362
Killeen,TX,120,953.1088965664632,956.7586251883874,958.9534556033244,965.346578840427,969.069893848138,981.1485336380448,992.094597538954,1008.3077747723952,1019.8428863171451,1032.7092328198753,1040.931116095827,1046.4530802404397,1044.2101231033687,1053.965619606946,1064.1370248651058,1094.8212174235964,1118.2158000281147,1151.0086122322052,1175.6198016185947,1198.9893430920245,1218.8586807441216,1238.4936527371826,1253.391557256599,1265.4237936227833,1263.478362603886,1264.190549136195,1272.385890439861,1294.466240994892,1310.1739339629526,1320.419903704414,1323.212756994688,1332.8295957727316,1336.0938131290363,1332.195385962885,1321.960851952176,1320.1402463205966,1318.1865521663544,1324.5250436533809,1325.3241780512558,1332.4986643024804,1336.010918974293,1345.6735679220617,1346.541932091057,1350.8702850374025,1350.7454311390634,1355.2482381665905,1347.8987443109295,1343.4057549658655,1336.429822008271,1341.7675134729109,1342.5297274247753,1347.4078610566658,1346.576994584194,1349.7804168443545
Asheville,NC,121,1288.5345489734314,1294.4694142868464,1289.0626779472989,1291.794000225235,1288.8714633065558,1301.022045400949,1314.4554032692165,1328.6723917746024,1343.1170321692375,1352.586292949013,1354.1737549535478,1352.8919500442007,1369.0364992922298,1386.9296944134678,1407.0141188126784,1426.1709716804005,1441.8333506440097,1464.6881810334248,1490.3523816454187,1524.9306115865668,1548.9589521887867,1570.0494744729124,1586.30377557401,1610.841189278384,1631.455636767462,1647.3315064370224,1656.7584851496576,1673.7238166000602,1700.857761849395,1722.0825742343502,1740.7472408857675,1749.2315030724596,1762.1582580758763,1767.4307000192855,1774.062994543369,1770.439353759769,1777.6254915613997,1776.5843800582809,1793.9477411015453,1796.2911011559097,1811.6329975425183,1811.480275119182,1819.105892234128,1822.083573126989,1836.9635533459696,1834.6271877443785,1842.6433636268168,1843.774136748724,1841.055982422832,1841.496748894973,1844.769953825752,1869.6417248015125,1885.3435473059496,1893.3060075889025
York,PA,122,930.8441101363944,939.71881753157,947.593551678652,955.231792174218,958.4506982591504,961.258429480868,964.9355963580116,957.2095514503294,957.3332310117552,962.0815457907008,983.9975406926322,992.8707943909836,999.0112396184109,992.3325560956334,993.0485995903056,1003.3756170554276,1026.8378762381394,1050.6691753418606,1061.421343778687,1061.9407898989618,1069.5644125829313,1079.2390729868896,1090.7788844120516,1096.2430124805455,1100.046284993514,1099.907565776697,1108.4714543161654,1119.7517309359232,1140.7854453952132,1153.7608368570789,1159.250566792001,1159.006233287122,1151.5006178015628,1144.4480977261285,1147.258454879705,1153.0633882586255,1162.585802640256,1163.3803011704026,1162.9010623338809,1176.8150380046386,1189.580761983733,1211.5461158087653,1206.25816679912,1220.5611025783578,1216.2241683966074,1235.233111712917,1229.5146654662117,1234.5339784352782,1225.7801941865368,1238.5764169376412,1241.297148784247,1258.490356923313,1252.7474979534325,1260.0295250320924
Vallejo,CA,123,1949.6332219959045,1969.083351051466,1971.7493683447249,1970.7866518807652,1957.841289435982,1961.199485273753,1977.123986320525,2000.729807383008,2024.652501687474,2043.0260988742184,2057.5830769804443,2070.3488039494173,2084.516509640111,2086.932904531075,2090.0872081721327,2095.091892644763,2120.519332638719,2141.4434566249406,2178.5561341811017,2195.6481860971858,2216.5015202549257,2223.611891048652,2240.8828834418337,2257.109437765213,2260.6434273546065,2266.122359940734,2261.650323734039,2292.846077233971,2311.431991399771,2338.4481703048277,2344.3724332664638,2343.3794863938283,2343.168509610772,2323.293776355509,2311.110660780591,2294.7246824811978,2293.7284685023205,2310.8390045191263,2330.745624747048,2343.433357828603,2340.2346067382546,2347.7399995340043,2356.855902236021,2372.2554624959976,2362.6078342975443,2361.9872554246763,2345.0111578699,2345.94062960194,2339.3724685607485,2353.157197565426,2379.1083394667507,2398.714073100807,2412.1322453671573,2418.942358936549
